brand,years,mileage,transmission,price
Honda,2012,64217,Automatic,12430
INFINITI,2013,11899,CVT,13888
Kia,2010,201902,Automatic,2999
Chevrolet,2019,65969,Automatic,25900
Hyundai,2019,22806,Automatic,24922
Lincoln,2017,35731,Automatic,14950
Ford,2017,57412,Automatic,6999
Hummer,2003,140322,Automatic,16775
Buick,2018,25633,Automatic,25211
smart,2009,72949,Automatic,4950
Pontiac,2001,163486,Automatic,3000
Jaguar,1994,159824,Automatic,3750
Honda,2012,73615,Automatic,11990
Volvo,2009,86825,Automatic,7495
Ford,2014,125674,Automatic,20884
Mercury,2003,226069,Automatic,6899
Chevrolet,2019,24045,CVT,15951
BMW,2016,28051,Automatic,67977
Lincoln,2017,45932,Automatic,32390
Acura,2011,186337,Automatic,15998
Dodge,2010,163853,Automatic,7630
Genesis,2018,38264,Automatic,24993
Hyundai,2018,25487,Automatic,14470
Buick,2016,22997,Automatic,16979
Scion,2015,112495,Automatic,11995
Chevrolet,2017,45692,Automatic,10999
Chrysler,2017,51556,Automatic,18350
Dodge,2017,77716,Automatic,10495
Volkswagen,2017,11905,Manual,15995
Mazda,2017,18167,Automatic,14495
Volkswagen,2018,4142,Automatic,15995
Mazda,1998,214816,Automatic,1999
Jaguar,2016,67243,Automatic,36998
Kia,2015,112574,Automatic,8495
Lincoln,2017,29702,Automatic,24379
Ford,2009,78703,Automatic,7575
Nissan,2019,8153,CVT,12899
Chevrolet,2018,24962,Automatic,10889
Mercury,2009,166005,Automatic,2995
Ford,2019,1985,Automatic,17499
Toyota,2013,143106,Automatic,5950
Chevrolet,2019,4949,Automatic,15990
RAM,2019,32631,Automatic,24999
Ford,2019,938,Automatic,18490
Jeep,2011,137621,Automatic,6599
Mercedes-Benz,2016,38119,Automatic,83995
Porsche,2013,76724,Automatic,23800
Toyota,2018,62366,CVT,15099
Nissan,2018,42552,CVT,12992
Chevrolet,2018,51007,Automatic,12849
Dodge,2017,36388,Automatic,20789
Nissan,2017,46643,CVT,22779
BMW,2000,183259,Automatic,5495
BMW,2017,58246,Automatic,35881
Lexus,2011,8719,CVT,9991
Ford,2016,77905,Automatic,15491
Nissan,2014,97031,Automatic,3500
Acura,2017,34721,Automatic,16995
Kia,2014,80111,Automatic,3995
Chevrolet,2018,42799,Automatic,6995
Ford,2015,67147,Automatic,6300
Mercedes-Benz,2019,6433,Automatic,29900
INFINITI,2009,168984,Automatic,2999
Honda,2006,2079,CVT,1999
Mazda,2016,70923,Automatic,12995
Nissan,2017,100395,CVT,13999
Chevrolet,2018,9504,Automatic,24999
Jaguar,2019,12885,Automatic,48900
Hyundai,2016,67578,Automatic,12995
BMW,2016,17152,Automatic,69995
Bentley,2017,36836,Automatic,136500
Jeep,2006,248314,Automatic,6995
Maserati,2016,44698,Automatic,28999
Jaguar,2007,99795,Automatic,14995
Jeep,2016,107838,Automatic,9491
Mercedes-Benz,2016,4119,Automatic,78997
Chrysler,2018,34947,Automatic,28356
Ford,2008,212261,Automatic,2900
Honda,2015,97343,CVT,11795
Hyundai,2013,73953,Automatic,8495
Hyundai,2013,92283,Automatic,14750
Buick,2017,8045,Automatic,18000
Chrysler,2015,6686,Automatic,15999
Kia,2020,48358,Automatic,35000
Aston,2007,84127,Manual,32750
Lexus,2005,4632,Automatic,11985
Jaguar,2008,74336,Automatic,10450
Pontiac,2007,75301,Automatic,9500
Chevrolet,2003,107819,Automatic,13950
Mazda,2013,152141,Automatic,4350
Mercedes-Benz,2008,14322,Automatic,19994
Hyundai,2014,91744,Automatic,17981
Nissan,1993,49263,Manual,15995
Mercedes-Benz,2016,35293,Automatic,18995
Kia,2019,18993,CVT,12995
Audi,2017,32072,Automatic,44995
Nissan,2015,121228,CVT,4995
Nissan,2013,145306,CVT,6491
Acura,2017,3214,Automatic,39000
Jaguar,2007,90445,Automatic,16977
Buick,2020,252613,Automatic,25531
Buick,2018,653254,Automatic,12900
Honda,2006,219196,Automatic,7201
Acura,2012,133869,Automatic,16000
Kia,2015,51186,Automatic,17671
Kia,2012,165809,Manual,5980
Hyundai,2013,153096,Automatic,6995
Cadillac,2011,127068,Automatic,9490
Mazda,2009,139162,Automatic,3500
Lamborghini,2019,11644,Automatic,219880
Mercedes-Benz,2019,4803,Automatic,45999
Buick,2002,177827,Automatic,2795
Chrysler,2017,49599,Automatic,16995
Lexus,2016,75514,Automatic,43999
Acura,2012,92548,Automatic,24999
Lexus,2018,44387,Automatic,60555
BMW,2016,7979,Automatic,55555
Subaru,2003,251955,Manual,7900
BMW,2010,159217,Automatic,14950
Hyundai,2017,74014,Automatic,11900
Kia,2020,78,Automatic,46995
Nissan,2005,68704,Automanual,9499
Dodge,2015,88497,Automatic,7995
Maserati,2015,55111,Automatic,24450
Land,2012,127146,Automatic,15498
Honda,2015,55659,Automatic,16950
Ford,2017,7528,Automatic,49777
Ford,2018,44238,Automatic,39969
Ford,2018,13183,Automatic,13990
Hyundai,2018,17187,Automatic,17991
Ford,2017,41926,Automatic,19389
Volkswagen,2015,49363,Automatic,8999
Audi,2016,31131,Automatic,66500
Honda,2018,14314,CVT,16169
Chrysler,2006,45543,Automatic,9899
Lincoln,2003,173963,Automatic,4499
Hyundai,2013,119566,Automatic,9999
Nissan,2016,41429,Automatic,29977
FIAT,2017,6724,Automatic,12990
Chevrolet,2017,38019,Automatic,8990
Lincoln,2004,123893,Automatic,3988
Subaru,2019,2273,CVT,24699
Toyota,2019,1609,Automatic,40999
Subaru,2017,111587,Manual,12499
Mazda,2019,1518896,Automatic,30895
Lexus,2016,419,Automatic,48995
GMC,2015,67565,Automatic,13999
INFINITI,2017,19713,Automatic,22979
BMW,2009,106289,Automatic,13950
Hyundai,2014,62136,Automatic,10899
Mazda,2009,96788,Automatic,8991
Ford,2003,204012,Automatic,7995
Dodge,2007,212214,Automatic,3988
Subaru,2019,15768,CVT,32995
Lexus,2015,40297,CVT,24995
Hyundai,2016,31844,Manual,9995
Chevrolet,2015,3105,Automatic,8990
GMC,2016,46042,Automatic,13477
Dodge,2006,178601,Automatic,3990
Chevrolet,2013,15317,Automatic,4799
Nissan,2015,90947,CVT,5900
Acura,2012,136966,Automatic,5700
Cadillac,2019,2055,Automatic,33998
Kia,2014,100823,Automatic,8899
Cadillac,2013,119208,Automatic,11999
Nissan,2016,92059,CVT,9900
BMW,2017,32013,Automatic,37999
Mercury,2003,757,Automatic,32900
Ford,2011,122192,Automatic,6995
Buick,2014,82059,Automatic,7900
Hyundai,2014,7259,Automatic,19999
Lexus,2014,60503,Automatic,14995
Cadillac,1993,311374,Automatic,2750
Suzuki,2010,127449,CVT,6995
Acura,2013,80374,Automatic,8995
Cadillac,2009,116368,CVT,16895
Honda,2015,108953,CVT,9997
Hyundai,2019,33187,Automatic,31000
Ford,2008,51639,Automatic,7899
Jeep,2018,19308,Other/Unknown,17500
Honda,2012,98954,Automatic,11995
INFINITI,2012,264209,Automatic,9592
Maserati,2016,68671,Automatic,24850
Honda,2019,27359,Automatic,23500
BMW,1997,56798,Manual,8900
Cadillac,1993,136192,Automatic,4890
Honda,2008,61026,Manual,21988
Volkswagen,2018,18957,Automatic,16900
Ford,2019,32717,Automatic,7999
BMW,2011,69026,Automatic,11900
MG,1979,58868,Manual,7991
Volkswagen,2013,115539,Automatic,7995
Nissan,2017,63147,Automatic,25981
INFINITI,2006,174844,Automatic,6996
Nissan,2015,180654,Automatic,14795
Buick,2016,65321,Automatic,11899
Cadillac,2010,112558,Automatic,8950
Jaguar,2000,141592,Automatic,7500
Land,2009,202781,Automatic,9450
Buick,2018,20362,Automatic,18900
Ford,2003,212486,Automatic,2764
Honda,1994,82493,Manual,10995
BMW,2017,51309,Automatic,49575
Nissan,2013,71456,CVT,7995
INFINITI,2012,162763,Automatic,13995
INFINITI,2016,57047,Automatic,25888
Mazda,2001,1883,Automatic,1900
Hyundai,2011,132158,Automatic,14897
Aston,2017,15551,Automatic,89995
INFINITI,2011,144006,Automatic,18995
Mercury,2009,133417,Automatic,6995
Alfa,2015,1488,Automatic,34995
Dodge,2019,36492,Automatic,15495
Maserati,2004,106331,Automatic,11888
Aston,2011,679,Automatic,44888
Mazda,1993,150158,Manual,26976
BMW,2013,154464,Automatic,13500
Honda,1998,106562,Manual,16900
Lincoln,2019,4536,Automatic,37797
Ford,2016,51445,Manual,26990
Oldsmobile,2002,197495,Automatic,2495
Buick,2018,10735,Automatic,17999
Honda,2014,128446,Automatic,12995
Buick,2003,68973,Automatic,5950
Hyundai,2013,49475,Automanual,8950
Ford,2016,101367,Manual,13450
Toyota,2015,109412,CVT,8950
Chevrolet,2015,81214,Automatic,8995
INFINITI,2018,17043,Automatic,30495
Toyota,2011,17173,Automatic,4995
Chevrolet,2017,37865,Automatic,12999
Acura,2011,216393,Automatic,13700
Honda,2012,77232,Automatic,14995
GMC,2017,58823,Automatic,19999
Kia,2020,357198,Automatic,36500
Nissan,2014,890,CVT,7990
Chevrolet,2016,4274,Automatic,8990
Chevrolet,2016,97673,Automatic,12895
Saturn,2008,2805,Automatic,11188
Ford,2019,31482,Automatic,15989
Chevrolet,2019,2085,Automatic,30959
Buick,2019,8188,Automatic,24389
Mazda,2018,26252,Automatic,17979
Hyundai,2016,109093,Automatic,9099
Volvo,2018,64738,Automatic,48998
INFINITI,2016,70246,Automatic,23099
Mercedes-Benz,2017,156073,Automatic,52991
Ford,1989,139214,Automatic,8096
Kia,2016,111021,Automatic,6999
Lincoln,2018,14043,Automatic,21199
Chevrolet,2016,99335,Automatic,9999
Ford,2008,115602,Automatic,11997
Audi,2017,50201,Automatic,21995
Jeep,2016,76786,Automatic,14995
Volvo,2010,136887,Automatic,9995
Audi,2016,56154,Automatic,22800
Toyota,2018,110331,Automatic,14998
Nissan,2014,152059,CVT,1
Lincoln,2010,14017,Automatic,8740
Volvo,2019,23009,Automatic,35999
Buick,2008,108617,Automatic,4999
Hyundai,2019,336,Automatic,32995
Hyundai,2017,19924,Automatic,18971
Honda,2013,287589,Automatic,7360
INFINITI,2011,243953,Automatic,14000
Acura,2013,93702,Automatic,13999
Ford,2017,90838,Automatic,45999
Lincoln,2019,2484,Automatic,35999
Land,2016,75277,Automatic,32981
Honda,2001,128018,Manual,12888
Volkswagen,2018,51443,Automatic,24616
FIAT,2015,55015,Automatic,6900
Hyundai,2019,24901,Automatic,15477
Lexus,2016,4605,Automatic,19700
Hyundai,2014,154532,Automatic,13980
Toyota,2000,112818,Manual,5494
Suzuki,2009,161112,Automatic,3995
Mercedes-Benz,2006,211101,Automatic,4950
Hyundai,2017,3363,Automatic,9999
Lexus,2018,12866,Automatic,71386
Jeep,2011,93322,Automatic,5300
Maserati,2018,19892,Automatic,31888
RAM,2019,24597,Automatic,39900
Audi,2016,59498,Automatic,22999
Jeep,2016,56386,Automatic,8999
Lexus,2011,81407,Automatic,12999
Hyundai,2016,50569,Automatic,9999
INFINITI,2019,30315,CVT,23900
Buick,2014,115945,Automatic,8941
Nissan,2013,11506,CVT,5499
Subaru,2019,11126,CVT,31995
Ford,2000,233305,Automatic,8995
Mercury,2009,167135,Automatic,5995
Lamborghini,2020,3446,Automatic,238500
Nissan,2014,63612,CVT,15399
Acura,2017,33145,Automatic,35000
Nissan,2013,103856,CVT,3999
INFINITI,2019,28962,Automatic,24900
Toyota,2003,20917,Automatic,2799
Jeep,1987,246954,Automatic,9995
Kia,2016,44183,Automatic,22966
Chrysler,2018,27372,Automatic,16950
Mercedes-Benz,2012,66979,Automatic,14400
Chevrolet,2014,93962,Automatic,9995
Nissan,2017,30442,CVT,7999
Lexus,2006,159071,Automatic,5855
Jeep,2012,110125,Automatic,17900
Mazda,2004,88073,Manual,8795
Subaru,2011,165727,Automatic,7495
Lexus,2017,10162,Automatic,29900
Alfa,2018,38125,Automatic,26894
Lexus,2001,230087,Automatic,6595
Nissan,2014,115919,Manual,6486
Ford,2007,169455,Automatic,9995
Volkswagen,2018,27049,Automatic,29997
Volkswagen,2018,12508,Automatic,22900
Hyundai,2019,407077,Automatic,25888
Hyundai,2018,40608,Manual,12996
Mazda,2007,98744,Manual,6995
Nissan,2005,190341,Automatic,4377
Lincoln,2010,8514,Automatic,11900
Jeep,2012,107747,Automatic,7995
Chevrolet,2017,44893,Automatic,11259
Buick,2015,106194,Automatic,14950
Ford,2004,197941,Automatic,17777
Ford,2014,79718,Automatic,13491
Chevrolet,2001,132068,Automatic,4995
Honda,2018,11599,CVT,14799
Land,2005,217509,Automatic,7997
Subaru,2019,6877,CVT,26999
Toyota,2016,74884,Automatic,24999
Genesis,2017,56032,Automatic,29999
Lexus,2018,4811,Automatic,46299
Toyota,2020,15248,CVT,13800
Bentley,2018,35168,Automatic,138000
Volvo,2018,39625,Automatic,35777
Chevrolet,2018,29194,Automatic,9990
Jaguar,2015,4762,Automatic,25000
Dodge,2018,2256,Automatic,14979
Subaru,2003,97325,Manual,6000
Buick,2017,23926,Automatic,17999
Mazda,2012,55475,Manual,12999
Ford,2002,265006,Automatic,2999
Porsche,2018,7852,Automatic,78500
Ford,2015,59959,Automatic,8888
INFINITI,2017,36706,Automatic,17998
Cadillac,2014,54246,Automatic,16999
Mercedes-Benz,2009,183601,Automatic,6995
Jaguar,2018,29977,Automatic,24980
Nissan,2010,213566,Automatic,7500
Chevrolet,2008,191997,Automatic,16500
GMC,2017,45855,Automatic,18889
Lincoln,2013,115528,Automatic,12990
MINI,2006,177112,Automatic,3995
Aston,2009,28174,Automatic,48007
Lincoln,2014,15383,CVT,11257
Kia,2015,77232,Automatic,7995
Nissan,2018,31393,CVT,11995
Chevrolet,2017,78326,Automatic,7995
Ford,2018,135,Automanual,5500
Hyundai,2019,40869,Automatic,13370
Volkswagen,2005,153825,Automatic,4500
Hyundai,2018,2315,Automatic,19204
Hyundai,2019,11789,Automatic,26291
Hyundai,2018,32967,Automatic,13995
Audi,2017,4558,Automatic,16995
Hyundai,2017,56148,Automatic,14999
Hyundai,2013,139066,Automatic,13999
Ford,2017,27448,Manual,30880
Nissan,2014,91716,Automatic,18999
BMW,2018,62545,Automatic,42188
Honda,2019,22161,CVT,18999
Chrysler,2016,94931,Automatic,12500
Scion,2013,36511,Automatic,11990
Subaru,2013,14403,Manual,9995
Dodge,2006,123801,Automatic,6350
Ford,2018,43459,Automatic,9950
Mercedes-Benz,2017,40127,Automatic,39993
Nissan,2016,68671,CVT,8795
Toyota,2016,26479,Automatic,22998
Chevrolet,2017,39404,Automatic,6995
Honda,2010,105327,Automatic,7950
Ford,2000,201353,Automatic,8985
Honda,2004,6436,Automatic,10495
Cadillac,2013,115848,Automatic,5800
Toyota,2008,125365,Automatic,8998
Jaguar,2017,17055,Automatic,22750
Cadillac,2008,123182,Automatic,6997
BMW,2020,19775,Automatic,64995
Ford,2013,77464,Automatic,6900
INFINITI,2016,5558,Automatic,16000
Toyota,2007,196969,Other/Unknown,4500
Nissan,2009,144768,Automatic,4995
Pontiac,2006,14803,Manual,14977
Audi,2009,57612,Automatic,55994
Subaru,2019,526,CVT,26995
INFINITI,2013,137233,Automatic,13900
Mercedes-Benz,2016,44891,Automatic,99000
Dodge,2006,154754,Automatic,5495
Land,2005,213979,Automatic,3999
BMW,1997,162155,Automatic,3499
Ford,2005,21518,Automatic,9995
Chrysler,2002,101616,Automatic,4995
Chevrolet,2008,17476,Manual,3990
Nissan,2017,6194,CVT,5300
Mercedes-Benz,2017,75359,Automatic,77900
Dodge,2015,38938,Automatic,24995
Nissan,2011,87493,CVT,10995
Ford,2015,45758,Manual,13999
Mercedes-Benz,2019,13144,Automatic,26855
Dodge,2007,283504,CVT,2995
Chrysler,2018,3364,Automatic,31813
Nissan,2020,3218,CVT,12850
Ford,2018,11567,Automatic,25500
MINI,2018,52862,Automatic,18900
Mazda,2016,9095,Automatic,9888
Chevrolet,2017,37935,Automatic,7995
INFINITI,2004,231191,Automatic,4999
Chrysler,2016,43514,Automatic,19500
Pontiac,2006,12892,Other/Unknown,12900
Ford,2014,16915,Automatic,8950
Cadillac,2006,151558,Automatic,3950
Toyota,2019,7144,CVT,35997
Subaru,2018,2019,CVT,20499
Honda,2005,142454,Manual,16977
Mercury,2010,109576,Automatic,8799
Subaru,2015,77232,CVT,13895
Lincoln,2017,46775,Automatic,19689
Chevrolet,2004,79287,Automatic,16995
Lincoln,2006,17026,Automatic,6995
GMC,2017,34331,Automatic,21199
Buick,2018,1901,Automatic,10990
Chrysler,2016,82728,Automatic,10990
Honda,2014,101723,CVT,8900
Toyota,2013,107428,Automatic,11990
Ford,2016,32669,Automatic,17750
Honda,2019,19364,CVT,15000
Dodge,2017,5478,Automatic,12400
Chevrolet,2019,55642,CVT,12179
Toyota,2017,17218,Automatic,15999
GMC,2014,107452,Automatic,9499
RAM,2019,1264,Automatic,38919
Mazda,2004,122558,Manual,4988
Dodge,2016,108503,Automatic,6800
Chevrolet,2018,26341,Automatic,25799
Toyota,2017,59308,Automatic,19989
Chevrolet,2018,8882,Automatic,25899
Ford,2019,48812,CVT,12997
Maserati,2017,19778,Automatic,35900
Subaru,2016,68757,CVT,17263
Ford,2011,104168,Automatic,11000
Lotus,2005,23335,Manual,34995
Nissan,2015,93661,Automatic,23450
Toyota,2013,145893,CVT,7999
Audi,2017,60148,Automatic,43900
Hyundai,2016,64373,Automatic,8995
Ford,2015,12914,Automatic,13890
Chevrolet,2020,432821,Automatic,19800
GMC,2017,107874,Automatic,12850
Chevrolet,2005,124218,Automatic,8500
Lexus,2007,68745,Automatic,16500
Ford,2013,131835,Automatic,12900
Buick,2008,203838,Automatic,2499
Ford,2007,187009,Automatic,11480
Hyundai,2017,25248,Automatic,10999
Audi,2014,103966,Automatic,19299
Volkswagen,2019,2008,Automatic,13999
Nissan,2018,30368,CVT,14250
BMW,2014,116532,Automatic,23750
Ford,2014,104657,Automatic,10995
Nissan,2015,4296,Automatic,19995
Nissan,2019,471,CVT,12999
Nissan,2015,12439,CVT,4450
Nissan,2016,87691,CVT,9590
Maserati,2017,80352,Automatic,37988
Volkswagen,2001,31706,Automatic,9459
Cadillac,1977,111964,Automatic,8995
Mercury,1998,88495,Automatic,4900
Chevrolet,2005,433891,Automatic,500
Honda,2008,137862,Manual,5267
Kia,2020,21076,Automatic,35995
Ford,2011,249395,Automatic,3995
Jaguar,2009,11622,Automatic,14900
Lexus,2018,17377,Automatic,27650
Plymouth,2000,2278,Automatic,21995
Lamborghini,2020,114239,Automatic,235900
Jaguar,2007,130146,Automatic,5443
GMC,2003,16768,Automatic,3995
Ford,2017,25134,Manual,33994
Subaru,2003,243131,Automatic,4895
Mercury,2009,123866,Automatic,7998
Ford,2013,107705,Automatic,9995
Buick,2004,115594,Automatic,3988
Ford,2003,19811,Automatic,7495
Kia,2020,37075,Automatic,35997
Jeep,2011,180585,Other/Unknown,5000
BMW,2017,32928,Automatic,20995
Kia,2018,7535,Automatic,31995
Chevrolet,2016,54148,Automatic,27995
Volvo,2018,12072,Automatic,49995
Hyundai,2016,53478,Automatic,11995
Acura,2012,121945,Automatic,18555
Hyundai,2019,8005,Automatic,22900
Hyundai,2016,99317,Automatic,20097
Dodge,2018,23023,Automatic,14495
Mazda,2013,80191,Manual,12995
Mazda,2017,12581,Automatic,13995
Lamborghini,2019,5141,Automatic,225500
Land,2008,106516,Automatic,4999
Jaguar,2013,81169,Automatic,22500
Volkswagen,2019,25744,Manual,16500
Lincoln,2016,43728,Automatic,13995
Lincoln,2009,170554,Automatic,4999
Mercedes-Benz,2008,105356,Automatic,22995
FIAT,2015,60043,Manual,6500
Audi,2019,4994,Automatic,53844
Volvo,2019,24433,Automatic,38990
Aston,2011,51385,Automatic,57520
Bentley,2014,65695,Automatic,79800
Acura,2015,159082,Automatic,14799
Land,1989,112176,Manual,21900
Buick,2014,46947,Automatic,11995
Hyundai,2019,20373,Automatic,16899
Lexus,2018,28642,Automatic,59940
Jeep,2018,21034,Automatic,16120
Volkswagen,2018,24557,Automatic,32175
Chevrolet,2019,4373,Automatic,22572
MINI,2018,26018,Automatic,23553
Chrysler,2012,116768,Automatic,8950
GMC,2016,105599,Automatic,12995
Tesla,2018,805,Automatic,82499
GMC,2017,72225,Automatic,20390
Buick,2017,9584,Automatic,18950
Buick,1997,128363,Automatic,5099
Cadillac,2009,13119,Automatic,8099
Mazda,2017,26965,Automatic,12989
Mercedes-Benz,2009,122969,Automanual,11000
Toyota,2019,3886,Manual,18899
GMC,2017,41834,Automatic,13300
Honda,2015,94024,Automatic,14800
Cadillac,2019,15746,Automatic,31795
Alfa,2018,25213,Automatic,23273
Buick,2016,37165,Automatic,15778
Buick,2010,10695,Automatic,13995
Ford,2018,60461,Automatic,18795
Lincoln,2018,12769,Automatic,22299
Pontiac,2009,37329,Other/Unknown,28399
INFINITI,2017,50061,Automatic,21998
Volvo,1991,325375,Automatic,4500
RAM,2016,105081,Automatic,20995
Subaru,2017,6346,CVT,12991
Subaru,2014,86516,Manual,13791
Chevrolet,2003,65076,Automatic,20000
Maserati,2014,24766,Automatic,47800
Toyota,2006,102022,Automatic,6995
BMW,2000,80888,Manual,15900
Chevrolet,2004,67264,Automatic,22988
Kia,2016,76427,Automatic,5995
Ford,2002,399074,Automatic,2998
Mazda,2004,125301,Manual,3999
Hyundai,2012,157952,Automatic,2999
Chevrolet,2006,182821,Automatic,1999
Chevrolet,2014,118982,Automatic,9299
Hummer,2006,192353,Automatic,13799
Nissan,2016,47147,Automatic,5900
Nissan,2017,59005,CVT,23900
Cadillac,2003,123652,Automatic,4999
Pontiac,2007,4784,Other/Unknown,8950
Ford,2016,85277,Automatic,20000
Lamborghini,2020,159291,Automatic,NotPriced
Honda,2018,30825,CVT,14950
Kia,2010,108051,Manual,4250
Volvo,2015,93924,Automatic,12671
Chrysler,2006,92418,Automatic,4986
Dodge,2016,101602,Automatic,8995
Hyundai,2011,103422,Automatic,15488
Toyota,2002,217215,Manual,4988
Audi,2014,39263,Automatic,20895
Kia,2016,30032,Automatic,10299
Volvo,2016,59715,Automatic,33999
Mercedes-Benz,2006,110987,Automatic,7986
Jeep,1979,54058,Automatic,7999
Hyundai,2019,1536,Automatic,28955
Kia,2013,89858,Automatic,6999
Pontiac,2004,48042,Automatic,12999
Kia,2017,55951,Automatic,7999
